name,link,country,fact_reporting,media_type,traffic,press_freedom,cred_rank,bias
Northwest Arkansas Democrat-Gazette,https://www.nwaonline.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Now Entertainment,https://www.nowentertainment.net/,USA,HIGH,Website,Minimal Traffic,MOSTLY FREE,N/A,right_center
Odessa American,https://www.oaoa.com/,USA,HIGH,Newspaper,Minimal Traffic,MOSTLY FREE,N/A,right_center
Omaha World-Herald,https://www.omaha.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Open Doors,https://www.opendoorsusa.org,USA,MIXED,N/A,N/A,N/A,N/A,right_center
Orange County Register,https://www.ocregister.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Oregonian,https://www.oregonlive.com,USA (44/180 Press Freedom),HIGH,Newspaper,High Traffic,N/A,N/A,right_center
Ottawa Citizen,https://ottawacitizen.com,Canada (14/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,right_center
Ottawa Sun,https://ottawasun.com/,Canada,HIGH,N/A,N/A,N/A,N/A,right_center
Pacific Research Institute,https://www.pacificresearch.org/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,right_center
Parkersburg News and Sentinel,https://www.newsandsentinel.com/,USA (44/180 Press Freedom),HIGH,Newspaper,Minimal Traffic,N/A,N/A,right_center
Peninsula Daily News,https://www.peninsuladailynews.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Pittsburgh Post-Gazette,http://www.post-gazette.com/,USA (44/180 Press Freedom),HIGH,Newspaper,High Traffic,N/A,N/A,right_center
Pittsburgh Tribune Review,https://triblive.com/,USA (44/180 Press Freedom),HIGH,Newspaper,High Traffic,N/A,N/A,right_center
PolicyEd,https://www.policyed.org/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Politisite,https://politisite.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Post-Bulletin,http://www.postbulletin.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
R Street Institute,https://www.rstreet.org/,USA (44/180 Press Freedom),HIGH,Organization/Foundation,Minimal Traffic,N/A,N/A,right_center
Rasmussen Reports,http://www.rasmussenreports.com/,USA (45/180 Press Freedom),HIGH,Organization/Foundation,Medium Traffic,N/A,N/A,right_center
RealClearDefense,https://www.realcleardefense.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,right_center
Real Clear Investigations,https://www.realclearinvestigations.com/,USA (44/180 Press Freedom),MOSTLY FACTUAL,Website,Medium Traffic,N/A,N/A,right_center
RealClearMarkets,https://www.realclearmarkets.com/,USA,MOSTLY FACTUAL,Website,Medium Traffic,MOSTLY FREE,N/A,right_center
Real Clear Policy,https://www.realclearpolicy.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,right_center
Real Clear Politics,https://www.realclearpolitics.com,USA (45/180 Press Freedom),MOSTLY FACTUAL,Website,High Traffic,N/A,N/A,right_center
RealClearReligion,https://www.realclearreligion.org,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,right_center
Reason,https://reason.com/,USA (45/180 Press Freedom),HIGH,Magazine,Medium Traffic,N/A,N/A,right_center
Red River Valley News,https://www.valleynewslive.com/,USA (45/180 Press Freedom),HIGH,TV Station,Medium Traffic,N/A,N/A,right_center
Regina Leader-Post,https://leaderpost.com,Canada,HIGH,N/A,N/A,N/A,N/A,right_center
Regulation Magazine,http://www.cato.org/regulation/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Remington Research Group,https://remingtonresearchgroup.com,USA (44/180 Press Freedom),HIGH,Website,Minimal Traffic,N/A,N/A,right_center
Republic World,http://www.republicworld.com/,N/A,N/A,N/A,N/A,N/A,N/A,right_center
Richmond Times-Dispatch,https://www.richmond.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Salem Radio Network News (SRN News),https://www.srnnews.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
San Bernardino Sun,https://www.sbsun.com,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Saskatoon StarPhoenix,https://thestarphoenix.com,Canada,HIGH,N/A,N/A,N/A,N/A,right_center
Savannah Morning News,https://www.savannahnow.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Scope Ratings,https://www.scoperatings.com/,N/A,N/A,N/A,N/A,N/A,N/A,right_center
SOFREP,https://sofrep.com/,USA (45/180 Press Freedom),MOSTLY FACTUAL,Website,Medium Traffic,N/A,N/A,right_center
St. Paul Pioneer Press,https://www.twincities.com/,USA (44/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,right_center
Student Daily News,https://www.studentnewsdaily.com/,USA (45/180 Press Freedom),MOSTLY FACTUAL,Organization/Foundation,Minimal Traffic,N/A,N/A,right_center
Tallahassee Democrat,http://www.tallahassee.com/,N/A,N/A,N/A,N/A,N/A,N/A,right_center
Tax Foundation,http://taxfoundation.org/,USA (45/180 Press Freedom),HIGH,Organization/Foundation,Medium Traffic,N/A,N/A,right_center
Tharawat Magazine,https://www.tharawat-magazine.com/,N/A,N/A,N/A,N/A,N/A,N/A,right_center
The Algemeiner Journal,https://www.algemeiner.com/,N/A,N/A,N/A,N/A,N/A,N/A,right_center
The American Conservative,https://www.theamericanconservative.com,USA (44/180 Press Freedom),MOSTLY FACTUAL,Magazine,Medium Traffic,N/A,N/A,right_center
The American Interest,http://www.the-american-interest.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Australian,https://www.theaustralian.com.au/,Australian (25/180 Press Freedom),MIXED,Newspaper,High Traffic,N/A,N/A,right_center
The Brunswick News,https://thebrunswicknews.com/,USA (44/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,right_center
The Bulwark,https://thebulwark.com/,USA (44/180 Press Freedom),HIGH,Website,Medium Traffic,N/A,N/A,right_center
The Chosun Ilbo,https://thebulwark.com/,South Korea,MIXED,Newspaper,High Traffic,MOSTLY FREE,N/A,right_center
The Chronicle Herald,http://thechronicleherald.ca/,Canada,MIXED,N/A,N/A,N/A,N/A,right_center
The Citizen (South Africa),https://citizen.co.za,South Africa (32/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,right_center
The Courier-Mail (Australia),http://www.couriermail.com.au/,Australia,HIGH,N/A,N/A,N/A,N/A,right_center
The Dispatch,https://thedispatch.com/,USA (44/180 Press Freedom),HIGH,Website,Medium Traffic,N/A,N/A,right_center
The Durango Herald,https://durangoherald.com,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Elkhart Truth,https://www.elkharttruth.com,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Fiscal Times,http://www.thefiscaltimes.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Gazette (Cedar Rapids),http://www.thegazette.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Globe and Mail,https://www.theglobeandmail.com/,Canada (14/180 Press Freedom),HIGH,Newspaper,High Traffic,N/A,N/A,right_center
The Independent Institute,https://www.independent.org/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,right_center
The Japan News,https://the-japan-news.com/,Japan,HIGH,N/A,N/A,N/A,N/A,right_center
The Jerusalem Report,http://www.jpost.com/Jerusalem-Report,Israel (86/180 Press Freedom),HIGH,Magazine,High Traffic,N/A,N/A,right_center
The Jewish Press,https://www.jewishpress.com/,USA (45/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,right_center
The Journal (West Virginia),https://www.journal-news.net/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Ledger,https://www.theledger.com,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Libertarian Republic,https://thelibertarianrepublic.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,right_center
The Nation Pakistan,https://nation.com.pk/,Pakistan (145/180 Press Freedom),MIXED,Newspaper,Medium Traffic,N/A,N/A,right_center
The New Atlantis,https://www.thenewatlantis.com/,USA (44/180 Press Freedom),HIGH,Journal,Minimal Traffic,N/A,N/A,right_center
The News International,https://www.thenews.com.pk/,Pakistan,MIXED,Newspaper,High Traffic,LIMITED FREEDOM,N/A,right_center
The Objective Standard,https://www.theobjectivestandard.com,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Oklahoman,https://oklahoman.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Pantagraph,https://pantagraph.com/,USA (44/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,right_center
"The Post-Journal (Jamestown, New York)",https://www.post-journal.com,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Press-Enterprise,http://www.pe.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Seymour Tribune,https://tribtown.com/,USA,HIGH,Newspaper,Medium Traffic,MOSTLY FREE,N/A,right_center
The Sorrentino,https://www.thesorrentino.com,USA,MIXED,N/A,N/A,N/A,N/A,right_center
The Spectator (UK),https://www.spectator.co.uk/,United Kingdom (35/180 Press Freedom),MOSTLY FACTUAL,Magazine,Medium Traffic,N/A,N/A,right_center
The Spectator (USA),https://spectator.us,USA (44/180 Press Freedom),MOSTLY FACTUAL,Website,Medium Traffic,N/A,N/A,right_center
The Spectator World,https://spectatorworld.com/,United Kingdom,MOSTLY FACTUAL,Magazine,Minimal Traffic,MOSTLY FREE,N/A,right_center
The Spokesman-Review,https://www.spokesman.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Standard (Kenya),https://www.standardmedia.co.ke/,N/A,N/A,N/A,N/A,N/A,N/A,right_center
The Straits Times,https://www.straitstimes.com,Singapore (160/180 Press Freedom),MOSTLY FACTUAL,Newspaper,High Traffic,N/A,N/A,right_center
TheStreet,https://www.thestreet.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Sumter Item,https://www.theitem.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Times Herald (Port Huron),https://www.thetimesherald.com,USA,HIGH,Newspaper,Medium Traffic,N/A,N/A,right_center
Times of India,https://timesofindia.indiatimes.com,India (142/180 Press Freedom),MIXED,Newspaper,High Traffic,N/A,N/A,right_center
The Times UK and The Sunday Times,https://www.thetimes.co.uk/,United Kingdom (35/180 Press Freedom),HIGH,Newspaper,High Traffic,N/A,N/A,right_center
Washington Institute for Near East Policy,https://www.washingtoninstitute.org,USA,MIXED,N/A,N/A,N/A,N/A,right_center
The West Australian,https://thewest.com.au/,Australia (25/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,right_center
The Winchester Star,https://www.winchesterstar.com,USA,HIGH,N/A,N/A,N/A,N/A,right_center
The Yomiuri Shimbun,https://www.yomiuri.co.jp/,Japan,HIGH,N/A,N/A,N/A,N/A,right_center
Times-News (Pennsylvania),https://www.tnonline.com,USA,HIGH,Newspaper,Medium Traffic,MOSTLY FREE,N/A,right_center
Times of South Africa (Times Live),https://www.timeslive.co.za/,South Africa,MOSTLY FACTUAL,Newspaper,High Traffic,MOSTLY FREE,N/A,right_center
Toledo Blade,https://www.toledoblade.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
To Vima,https://www.toledoblade.com/,N/A,N/A,N/A,N/A,N/A,N/A,right_center
Transparent California,https://transparentcalifornia.com/,USA,MOSTLY FACTUAL,Organization/Foundation,Medium Traffic,MOSTLY FREE,N/A,right_center
Tribunnews.com,http://tribunnews.com,N/A,N/A,N/A,N/A,N/A,N/A,right_center
Tulsa World,https://tulsaworld.com/,USA (44/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,right_center
ValueWalk,https://www.valuewalk.com/,USA (44/180 Press Freedom),MOSTLY FACTUAL,Website,Medium Traffic,N/A,N/A,right_center
Vancouver Sun,http://vancouversun.com/,Canada,HIGH,N/A,N/A,N/A,N/A,right_center
Villages-News,https://www.villages-news.com/,USA,HIGH,Website,Medium Traffic,MOSTLY FREE,N/A,right_center
WACH – Columbia News,https://wach.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
Wall Street Journal,https://www.wsj.com/,USA (45/180 Press Freedom),MOSTLY FACTUAL,Newspaper,High Traffic,N/A,N/A,right_center
The Center Square,https://www.thecentersquare.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,right_center
Waterbury Republican-American,https://www.rep-am.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
WBFF – Baltimore News,https://foxbaltimore.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WBMA – Birmingham News,https://abc3340.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,right_center
WCHS – Charleston News,https://wchstv.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WCTI – New Bern News,https://wcti12.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WCYB – Bristol News,https://wcyb.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WDKY – Lexington News,https://foxlexington.com/,USA,HIGH,TV Station,Minimal Traffic,N/A,N/A,right_center
WEAR TV – Pensacola News,https://www.weartv.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
West Central Tribune,https://www.wctrib.com/,N/A,N/A,N/A,N/A,N/A,N/A,right_center
WEYI – Saginaw News,https://nbc25news.com/,USA,HIGH,TV Station,Minimal Traffic,MOSTLY FREE,N/A,right_center
WFXL – Albany GA,https://wfxl.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WGME – CBS 13,https://wgme.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WGTQ – Sault Ste Marie,https://upnorthlive.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,right_center
WGTU – Traverse City News,https://upnorthlive.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,right_center
WGXA News,https://wgxa.tv/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WHAM – Rochester News,https://13wham.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WHP – Harrisburg News,https://local21news.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
Williamsport Sun-Gazette,https://www.sungazette.com,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Willoughby News-Herald,https://www.news-herald.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Windsor Star,http://windsorstar.com/,Canada,HIGH,N/A,N/A,N/A,N/A,right_center
WJAC NBC 6,https://wjactv.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WJAR – Providence News,https://turnto10.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WJLA – ABC 7,https://wjla.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WKEF – Dayton News,https://dayton247now.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WKRC – Cincinnati,https://local12.com/,USA,HIGH,TV Station,Minimal Traffic,N/A,N/A,right_center
WLOS (ABC13News),https://wlos.com/,USA,HIGH,N/A,N/A,N/A,N/A,right_center
WLUK Fox 11,https://fox11online.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WNBW – Gainesville News,https://mycbs4.com/,USA,HIGH,TV Station,Minimal Traffic,N/A,N/A,right_center
WNWO 24 News,https://nbc24.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WOLF – Fox56,https://fox56.com/,USA,HIGH,TV Station,Minimal Traffic,MOSTLY FREE,N/A,right_center
WPEC – CBS12.com,https://cbs12.com,USA (44/180 Press Freedom),HIGH,TV Station,Medium Traffic,N/A,N/A,right_center
WPFO – Portland News,https://fox23maine.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WPGH – Pittsburgh News,https://wpgh53.com/,USA,HIGH,TV Station,Minimal Traffic,MOSTLY FREE,N/A,right_center
WPMI – Mobile News,https://mynbc15.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,right_center
WRGB – Albany,https://turnto10.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WRGT – Dayton News,https://dayton247now.com/,USA,HIGH,TV Station,Minimal Traffic,MOSTLY FREE,N/A,right_center
WSBT 22 News,https://wsbt.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WSET – Lynchburg News,https://wset.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WSMH – Flint,https://nbc25news.com/,USA,HIGH,TV Station,Minimal Traffic,N/A,N/A,right_center
WSTM – CNYCentral,https://cnycentral.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WSYX – ABC6onYourSide.com,https://kpic.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WTGS – Savannah,https://fox28media.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WPBN – Traverse City News,https://upnorthlive.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,right_center
WTOV Steubenville-Wheeling,https://wtov9.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WTTE – Columbus News,https://myfox28columbus.com/,USA,HIGH,TV Station,Minimal Traffic,MOSTLY FREE,N/A,right_center
WTVC – Chattanooga,https://foxchattanooga.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,right_center
WTVH – CNYCentral,https://cnycentral.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,right_center
WTWC – Tallahassee News,https://wtwc40.com/,USA,HIGH,TV Station,Minimal Traffic,N/A,N/A,right_center
WUHF – Rochester,https://foxrochester.com/,USA,HIGH,TV Station,Minimal Traffic,MOSTLY FREE,N/A,right_center
WUTV – Buffalo News,https://wutv29.com/,USA,HIGH,TV Station,Minimal Traffic,MOSTLY FREE,N/A,right_center
WVAH – Charleston News,https://wvah.com/,USA,HIGH,TV Station,Minimal Traffic,N/A,N/A,right_center
WXLV – Winston-Salem,https://wcyb.com/,USA,HIGH,TV Station,Minimal Traffic,MOSTLY FREE,N/A,right_center
WZTV – Nashville,https://fox17.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,right_center
Yankee Institute for Public Policy,https://yankeeinstitute.org,USA,HIGH,N/A,N/A,N/A,N/A,right_center
Zebra Fact Check,https://www.zebrafactcheck.com,USA,HIGH,N/A,N/A,N/A,N/A,right_center
2ndVote,https://2ndvote.com/,USA,MIXED,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,right
Abort73,https://abort73.com,USA,MIXED,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,right
Accuracy in Academia (AIA),https://www.academia.org,USA,MIXED,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,right
Accuracy in Media (AIM),https://www.aim.org,USA,MIXED,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,right
Against Crony Capitialism,https://www.ac2news.com,USA,MOSTLY FACTUAL,Website,Minimal Traffic,MOSTLY FREE,N/A,right
Aish.com,https://www.ac2news.com,USA,MIXED,Organization/Foundation,Medium Traffic,N/A,N/A,right
Alberta Press Leader,https://albertapressleader.ca/,Canada,MIXED,Website,Minimal Traffic,MOSTLY FREE,N/A,right
AltNewsMedia.net,https://altnewsmedia.net,United Kingdom (33/180 Press Freedom),MIXED,Website,Minimal Traffic,N/A,N/A,right
AMAC (Association of Mature American Citizens),https://amac.us/,USA,MIXED,Organization/Foundation,Medium Traffic,MOSTLY FREE,N/A,right
America First Action SuperPAC,https://www.a1apac.org,USA,MIXED,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,right
America Rising PAC,https://americarisingpac.org/,USA,MIXED,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,right
American Center for Law and Justice (ACLJ),https://aclj.org/,USA,MIXED,Organization/Foundation,Medium Traffic,MOSTLY FREE,N/A,right
American Consequences,https://americanconsequences.com,USA,MIXED,Website,Minimal Traffic,MOSTLY FREE,N/A,right
American Conservative Union (ACU),https://www.conservative.org/,USA,MIXED,Organization/Foundation,Medium Traffic,MOSTLY FREE,N/A,right
American Enterprise Institute,https://www.aei.org/,USA,MIXED,Organization/Foundation,Medium Traffic,MOSTLY FREE,N/A,right
Americans for Prosperity,https://americansforprosperity.org/,USA,MIXED,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,right
Americans for Tax Reform (ATR),https://americansforprosperity.org/,N/A,N/A,N/A,N/A,N/A,N/A,right
American Foreign Policy Council (AFPC),https://www.afpc.org/,USA,MOSTLY FACTUAL,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,right
American Greatness,https://amgreatness.com,USA,MIXED,Website,Medium Traffic,MOSTLY FREE,N/A,right
American Journal Daily,https://americanjournaldaily.com/,USA,MIXED,Website,Medium Traffic,N/A,N/A,right
American Legislative Exchange Council (ALEC),https://www.alec.org,USA,MIXED,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,right
American Spectator,https://spectator.org/,USA,MIXED,Website,Medium Traffic,MOSTLY FREE,N/A,right
Ami Magazine,http://www.amimagazine.org/,N/A,N/A,N/A,N/A,N/A,N/A,right
Ammoland,https://www.ammoland.com,USA,MOSTLY FACTUAL,Website,Medium Traffic,MOSTLY FREE,N/A,right
Anadolu Agency,https://www.aa.com.tr/en,Turkey,MIXED,News Agency,High Traffic,LIMITED FREEDOM,N/A,right
Arizona Daily Independent,https://arizonadailyindependent.com,USA (44/180 Press Freedom),MIXED,Website,Minimal Traffic,N/A,N/A,right
Armstrong Economics,https://www.armstrongeconomics.com,USA (44/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,right
AsianNews.it,https://www.armstrongeconomics.com,N/A,N/A,N/A,N/A,N/A,N/A,right
Assyrian International News Agency,http://www.aina.org/,USA (44/180 Press Freedom),MIXED,Website,Minimal Traffic,N/A,N/A,right
Axiom News Network,http://axiomnewsnetwork.com,USA,MIXED,N/A,N/A,N/A,N/A,right
The Badger Institute,https://www.badgerinstitute.org/,USA,MIXED,N/A,N/A,N/A,N/A,right
Bearing Arms,https://bearingarms.com/,USA,MIXED,N/A,N/A,N/A,N/A,right
Beliefnet,https://www.beliefnet.com/,USA,MIXED,Website,Medium Traffic,MOSTLY FREE,N/A,right
Bizpac Review,https://www.bizpacreview.com,USA (44/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,right
BlabberBuzz,https://www.blabber.buzz,USA (44/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,right
Blue Lives Matter (Police Tribune),https://policetribune.com/,USA (45/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,right
Bounding Into Comics,https://boundingintocomics.com,USA,MIXED,N/A,N/A,N/A,N/A,right
Brownstone Institute,https://brownstone.org/,USA,MIXED,Organization/Foundation,Medium Traffic,MOSTLY FREE,N/A,right
Buzzsaw Politics,https://buzzsawpolitics.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,right
C2C Journal,https://c2cjournal.ca/,Canada (14/180 Press Freedom),MOSTLY FACTUAL,Magazine,Minimal Traffic,N/A,N/A,right
Calgary Sun,https://calgarysun.com/,Canada,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,right
Cambridge Analytica,https://ca-political.com,United Kingdom,MIXED,N/A,N/A,N/A,N/A,right
Campaign Life Coalition,http://www.campaignlifecoalition.com/,Canada,MIXED,N/A,N/A,N/A,N/A,right
Campus Reform,https://www.campusreform.org,USA,MIXED,N/A,N/A,N/A,N/A,right
Capital Research Center,https://capitalresearch.org/,USA,MIXED,N/A,N/A,N/A,N/A,right
Center for Freedom and Prosperity,http://freedomandprosperity.org,USA,MIXED,N/A,N/A,N/A,N/A,right
Center of the American Experiment,http://freedomandprosperity.org,N/A,N/A,N/A,N/A,N/A,N/A,right
Chicks on the Right,http://www.chicksontheright.com/,USA,MIXED,N/A,N/A,N/A,N/A,right
Christian Coalition of America (CCA),http://www.cc.org,USA,MIXED,N/A,N/A,N/A,N/A,right
Christian Headlines,https://www.christianheadlines.com/,USA,MIXED,N/A,N/A,N/A,N/A,right
Christian News Alerts,https://www.christiannewsalerts.com,USA,MIXED,N/A,N/A,N/A,N/A,right
Christian Post,http://www.christianpost.com/,USA (44/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,right
Christian Today,https://www.christiantoday.com/,United Kingdom,MIXED,N/A,N/A,N/A,N/A,right
Chronicles Magazine (Rockford),https://www.chroniclesmagazine.org/,USA,MIXED,N/A,N/A,N/A,N/A,right
Citizen Free Press,https://www.citizenfreepress.com,USA,MIXED,Website,High Traffic,MOSTLY FREE,N/A,right
Citizens Against Government Waste (CAGW),https://www.citizenfreepress.com,N/A,N/A,N/A,N/A,N/A,N/A,right
Citizens United,http://citizensunited.org/index.aspx,USA,MIXED,N/A,N/A,N/A,N/A,right
City Journal,https://www.city-journal.org,USA (44/180 Press Freedom),MOSTLY FACTUAL,Magazine,Medium Traffic,N/A,N/A,right
Civitas Institute,https://www.nccivitas.org/,USA,MIXED,N/A,N/A,N/A,N/A,right
Claremont Institute,https://www.claremont.org,USA (44/180 Press Freedom),MIXED,Organization/Foundation,Minimal Traffic,N/A,N/A,right
Cold Dead Hands,http://www.colddeadhands.us/,USA,MIXED,N/A,N/A,N/A,N/A,right
Commentary Magazine,https://www.commentarymagazine.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,right
Communities Digital News (CDN),http://www.commdiginews.com/,USA,MIXED,N/A,N/A,N/A,N/A,right
Conservative Base,https://conservativebase.com/,USA,MIXED,N/A,N/A,N/A,N/A,right
Conservative Brief,https://conservativebrief.com/,USA,MOSTLY FACTUAL,Website,High Traffic,MOSTLY FREE,N/A,right
Conservative Home,https://conservativebrief.com/,United Kingdom,HIGH,Website,Medium Traffic,MOSTLY FREE,N/A,right
Conservative HQ,https://www.conservativehq.org/,USA,MIXED,N/A,N/A,N/A,N/A,right
Conservative Institute,https://www.conservativeinstitute.org,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,right
ConservativeOpinion.com,https://conservativeopinion.com/,USA,MIXED,N/A,N/A,N/A,N/A,right
Conservative Partnership Institute,https://www.cpi.org/,USA,MOSTLY FACTUAL,Organization/ Foundation,Minimal Traffic,MOSTLY FREE,N/A,right
Conservative Review,https://www.conservativereview.com/,USA (44/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,right
Conservative Today,https://conservativetoday.com,USA,MIXED,N/A,N/A,N/A,N/A,right
Crime Prevention Research Center,https://crimeresearch.org/,USA,MIXED,N/A,N/A,N/A,N/A,right
Crisis Magazine,http://www.crisismagazine.com/,USA (44/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,right
Daily Caller,https://dailycaller.com,USA,MIXED,Website,High Traffic,MOSTLY FREE,N/A,right
Daily Express,https://www.express.co.uk/,USA (45/180 Press Freedom),MIXED,Newspaper,HighTraffic,N/A,N/A,right
The Daily Liberator,https://www.thedailyliberator.com/,USA,MIXED,N/A,N/A,N/A,N/A,right
Daily Reckoning,https://www.thedailyliberator.com/,USA (44/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,right
Daily Signal,https://www.dailysignal.com/,USA (45/180 Press Freedom),MOSTLY FACTUAL,Website,Medium Traffic,N/A,N/A,right
Daily Telegraph (UK),https://www.telegraph.co.uk,United Kingdom (34/180 Press Freedom),MIXED,Newspaper,High Traffic,N/A,N/A,right
DC Statesman,http://www.dcstatesman.com/,USA,MIXED,N/A,N/A,N/A,N/A,right
